2023-02-06 03:19:13,477 INFO    StreamThr :1994028 [internal.py:wandb_internal():87] W&B internal server running at pid: 1994028, started at: 2023-02-06 03:19:13.475573
2023-02-06 03:19:13,485 DEBUG   HandlerThread:1994028 [handler.py:handle_request():144] handle_request: status
2023-02-06 03:19:13,494 INFO    WriterThread:1994028 [datastore.py:open_for_write():85] open: /home/taerim/PRIMNET-V2/wandb/run-20230206_031913-m0bhv263/run-m0bhv263.wandb
2023-02-06 03:19:13,498 DEBUG   SenderThread:1994028 [sender.py:send():334] send: header
2023-02-06 03:19:13,498 DEBUG   SenderThread:1994028 [sender.py:send():334] send: run
2023-02-06 03:19:14,045 INFO    SenderThread:1994028 [dir_watcher.py:__init__():216] watching files in: /home/taerim/PRIMNET-V2/wandb/run-20230206_031913-m0bhv263/files
2023-02-06 03:19:14,046 INFO    SenderThread:1994028 [sender.py:_start_run_threads():1065] run started: m0bhv263 with start time 1675653553.46626
2023-02-06 03:19:14,046 DEBUG   SenderThread:1994028 [sender.py:send_request():361] send_request: summary_record
2023-02-06 03:19:14,047 INFO    SenderThread:1994028 [sender.py:_save_file():1319] saving file wandb-summary.json with policy end
2023-02-06 03:19:14,048 DEBUG   HandlerThread:1994028 [handler.py:handle_request():144] handle_request: check_version
2023-02-06 03:19:14,049 DEBUG   SenderThread:1994028 [sender.py:send_request():361] send_request: check_version
2023-02-06 03:19:14,183 DEBUG   HandlerThread:1994028 [handler.py:handle_request():144] handle_request: run_start
2023-02-06 03:19:14,194 DEBUG   HandlerThread:1994028 [system_info.py:__init__():31] System info init
2023-02-06 03:19:14,194 DEBUG   HandlerThread:1994028 [system_info.py:__init__():46] System info init done
2023-02-06 03:19:14,195 INFO    HandlerThread:1994028 [system_monitor.py:start():151] Starting system monitor
2023-02-06 03:19:14,196 INFO    HandlerThread:1994028 [system_monitor.py:probe():172] Collecting system info
2023-02-06 03:19:14,197 INFO    SystemMonitor:1994028 [system_monitor.py:_start():116] Starting system asset monitoring threads
2023-02-06 03:19:14,202 INFO    SystemMonitor:1994028 [interfaces.py:start():168] Started cpu
2023-02-06 03:19:14,205 INFO    SystemMonitor:1994028 [interfaces.py:start():168] Started disk
2023-02-06 03:19:14,209 INFO    SystemMonitor:1994028 [interfaces.py:start():168] Started gpu
2023-02-06 03:19:14,213 INFO    SystemMonitor:1994028 [interfaces.py:start():168] Started memory
2023-02-06 03:19:14,217 INFO    SystemMonitor:1994028 [interfaces.py:start():168] Started network
2023-02-06 03:19:14,264 DEBUG   HandlerThread:1994028 [system_info.py:probe():195] Probing system
2023-02-06 03:19:14,277 DEBUG   HandlerThread:1994028 [system_info.py:_probe_git():180] Probing git
2023-02-06 03:19:14,307 DEBUG   HandlerThread:1994028 [system_info.py:_probe_git():188] Probing git done
2023-02-06 03:19:14,307 DEBUG   HandlerThread:1994028 [system_info.py:probe():241] Probing system done
